Model,comments,dataset,dataset type,Precision Performance,Recall Performance,F1 performance
bert-small,,dbpedia,test - paraphrased,0.98,0.98,0.98
bert-small,,dbpedia,adv - paraphrased,0.97,0.97,0.97
funnel-transformer,,imdb,test - textfooler,0.99,0.99,0.99
funnel-transformer,,imdb,adv - textfooler,0.95,0.95,0.95
funnel-transformer,,imdb,test - textbugger,0.99,0.99,0.99
funnel-transformer,,imdb,adv - textbugger,0.94,0.93,0.93
funnel-transformer,,imdb,test - paraphrased,0.98,0.98,0.98
funnel-transformer,,imdb,adv - paraphrased,0.96,0.96,0.96
funnel-transformer,,ag_news,test - textfooler,0.86,0.85,0.85
funnel-transformer,,ag_news,adv - textfooler,0.78,0.76,0.76
funnel-transformer,,ag_news,test - textbugger,0.72,0.71,0.71
funnel-transformer,,ag_news,adv - textbugger,0.65,0.63,0.63
funnel-transformer,,ag_news,test - paraphrased,0.76,0.76,0.75
funnel-transformer,,ag_news,adv - paraphrased,0.74,0.74,0.73
funnel-transformer,,dbpedia,test - textfooler,1,1,1
funnel-transformer,,dbpedia,adv - textfooler,0.73,0.72,0.72
funnel-transformer,,dbpedia,test - textbugger,1,1,1
funnel-transformer,,dbpedia,adv - textbugger,0.73,0.7,0.7
funnel-transformer,,dbpedia,test - paraphrased,0.99,0.98,0.98
funnel-transformer,,dbpedia,adv - paraphrased,0.97,0.97,0.97
LSTM,attack on protocnn,imdb,test - textfooler,0.861,0.861,0.861
LSTM,attack on protocnn,imdb,adv - textfooler,0.826,0.826,0.826
LSTM,attack on protocnn,imdb,test - textbugger,0.855,0.855,0.855
LSTM,attack on protocnn,imdb,adv - textbugger,0.819,0.819,0.818
LSTM,attack on protocnn,ag_news,test - textfooler,0.965,0.965,0.965
LSTM,attack on protocnn,ag_news,adv - textfooler,0.953,0.953,0.953
LSTM,attack on protocnn,ag_news,test - textbugger,0.961,0.961,0.961
LSTM,attack on protocnn,ag_news,adv - textbugger,0.941,0.94,0.94
LSTM,attack on protocnn,dbpedia,test - textfooler,0.908,0.91,0.909
LSTM,attack on protocnn,dbpedia,adv - textfooler,0.869,0.849,0.857
LSTM,attack on protocnn,dbpedia,test - textbugger,0.903,0.905,0.904
LSTM,attack on protocnn,dbpedia,adv - textbugger,0.874,0.871,0.872
bert-small,attack on protocnn,imdb,test - textfooler,0.961,0.961,0.961
bert-small,attack on protocnn,imdb,adv - textfooler,0.93,0.93,0.93
bert-small,attack on protocnn,imdb,test - textbugger,0.959,0.959,0.959
bert-small,attack on protocnn,imdb,adv - textbugger,0.938,0.938,0.938
bert-small,attack on protocnn,ag_news,test - textfooler,0.95,0.948,0.948
bert-small,attack on protocnn,ag_news,adv - textfooler,0.937,0.934,0.934
bert-small,attack on protocnn,ag_news,test - textbugger,0.951,0.949,0.949
bert-small,attack on protocnn,ag_news,adv - textbugger,0.94,0.938,0.938
bert-small,attack on protocnn,dbpedia,test - textfooler,0.994,0.994,0.994
bert-small,attack on protocnn,dbpedia,adv - textfooler,0.979,0.976,0.977
bert-small,attack on protocnn,dbpedia,test - textbugger,0.994,0.994,0.994
bert-small,attack on protocnn,dbpedia,adv - textbugger,0.985,0.984,0.984
PBM,larger model,imdb,test - textfooler,0.8794,0.8767,0.8766
PBM,larger model,imdb,adv - textfooler,0.7451,0.7384,0.7371
PBM,larger model,imdb,test - textbugger,0.8536,0.8505,0.8496
PBM,larger model,imdb,adv - textbugger,0.7439,0.7383,0.7349
PBM,larger model,imdb,test - paraphrased,0.8312,0.8333,0.8316
PBM,larger model,imdb,adv - paraphrased,0.8711,0.87,0.8704
PBM,larger model,ag_news,test - textfooler,0.8794,0.8767,0.8766
PBM,larger model,ag_news,adv - textfooler,0.7451,0.7384,0.7371
PBM,larger model,ag_news,test - textbugger,0.8536,0.8505,0.8496
PBM,larger model,ag_news,adv - textbugger,0.7439,0.7383,0.7349
PBM,larger model,ag_news,test - paraphrased,0.8364,0.835,0.8341
PBM,larger model,ag_news,adv - paraphrased,0.8599,0.859,0.8585
Prototex,larger model,imdb,test - textfooler,0.985,0.985,0.985
Prototex,larger model,imdb,adv - textfooler,0.943,0.942,0.942
Prototex,larger model,imdb,test - textbugger,0.981,0.981,0.981
Prototex,larger model,imdb,adv - textbugger,0.931,0.931,0.931
Prototex,larger model,imdb,test - paraphrased,0.977,0.977,0.977
Prototex,larger model,imdb,adv - paraphrased,0.958,0.957,0.957
Prototex,larger model,ag_news,test - textfooler,0.964,0.964,0.964
Prototex,larger model,ag_news,adv - textfooler,0.899,0.897,0.897
Prototex,larger model,ag_news,test - textbugger,0.916,0.913,0.913
Prototex,larger model,ag_news,adv - textbugger,0.816,0.81,0.809
Prototex,larger model,ag_news,test - paraphrased,0.948,0.947,0.947
Prototex,larger model,ag_news,adv - paraphrased,0.892,0.887,0.887
Prototex,larger model,dbpedia,test - textfooler,0.976,0.974,0.974
Prototex,larger model,dbpedia,adv - textfooler,0.861,0.851,0.85
Prototex,larger model,dbpedia,test - textbugger,0.97,0.967,0.967
Prototex,larger model,dbpedia,adv - textbugger,0.887,0.884,0.884
Prototex,larger model,dbpedia,test - paraphrased,0.986,0.983,0.984
Prototex,larger model,dbpedia,adv - paraphrased,0.967,0.957,0.959
PBM,larger model,dbpedia,test - textfooler,0.9093,0.9118,0.9078
PBM,larger model,dbpedia,adv - textfooler,0.6012,0.518,0.5487
PBM,larger model,dbpedia,test - textbugger,0.8936,0.8899,0.8883
PBM,larger model,dbpedia,adv - textbugger,0.5531,0.4621,0.4955
PBM,larger model,dbpedia,test - paraphrased,0.9213,0.926,0.9221
PBM,larger model,dbpedia,adv - paraphrased,0.8667,0.834,0.8396
